Código IBGE;Ano;Município;Masculino;Feminino;Ignorado;Nascidos vivos;População 2021
3503703;2021;Ariranha;42;46;0;88;9.378
3503802;2021;Artur Nogueira;337;306;0;643;53.224
3503901;2021;Arujá;679;647;0;1.326;90.958
3503950;2021;Aspásia;10;10;0;20;1.760
3504008;2021;Assis;513;505;0;1.018;101.825
3504107;2021;Atibaia;1.024;987;0;2.011;140.589
3504206;2021;Auriflama;72;58;0;130;14.478
3504305;2021;Avaí;32;31;0;63;5.314
3504404;2021;Avanhandava;65;64;0;129;12.188
3504503;2021;Avaré;567;545;0;1.112;87.854
3504602;2021;Bady Bassitt;172;173;0;345;16.441
3504701;2021;Balbinos;6;10;0;16;3.707
3504800;2021;Bálsamo;44;35;0;79;8.542
3504909;2021;Bananal;44;29;0;73;10.691
3505005;2021;Barão de Antonina;25;22;0;47;3.407
3505104;2021;Barbosa;34;42;0;76;7.345
3505203;2021;Bariri;197;173;0;370;34.180
3505302;2021;Barra Bonita;180;149;0;329;34.864
3505351;2021;Barra do Chapéu;37;40;0;77;5.561
3505401;2021;Barra do Turvo;45;33;0;78;7.709
3505500;2021;Barretos;729;670;0;1.399;118.419
3505609;2021;Barrinha;183;200;0;383;32.658
3505708;2021;Barueri;2.626;2.540;0;5.166;266.236
3505807;2021;Bastos;149;115;0;264;20.296
3505906;2021;Batatais;330;337;0;667;60.502
3506003;2021;Bauru;2.151;2.080;0;4.231;365.523
3506102;2021;Bebedouro;389;392;0;781;73.969
3506201;2021;Bento de Abreu;11;13;0;24;2.966
3506300;2021;Bernardino de Campos;53;52;0;105;10.793
3506359;2021;Bertioga;498;489;0;987;64.526
3506409;2021;Bilac;21;31;0;52;7.855
3506508;2021;Birigui;662;593;0;1.255;122.161
3506607;2021;Biritiba Mirim;181;185;0;366;32.683
3506706;2021;Boa Esperança do Sul;95;75;0;170;14.658
3506805;2021;Bocaina;62;58;0;120;12.243
3506904;2021;Bofete;53;54;0;107;11.194
3507001;2021;Boituva;405;342;0;747;57.987
3507100;2021;Bom Jesus dos Perdões;139;148;0;287;24.625
3507159;2021;Bom Sucesso de Itararé;31;34;0;65;3.894
3507209;2021;Borá;4;4;0;8;811
3507308;2021;Boracéia;35;37;0;72;4.798
3507407;2021;Borborema;67;55;0;122;15.370
3507456;2021;Borebi;18;18;0;36;2.602
3507506;2021;Botucatu;829;781;0;1.610;142.092
3507605;2021;Bragança Paulista;1.034;1.025;0;2.059;165.241
3507704;2021;Braúna;47;28;0;75;5.593
3507753;2021;Brejo Alegre;11;18;0;29;2.780
3507803;2021;Brodowski;158;141;0;299;24.132
3507902;2021;Brotas;145;144;0;289;24.039
3508009;2021;Buri;132;156;0;288;19.819
3508108;2021;Buritama;78;76;0;154;16.673
3508207;2021;Buritizal;26;15;0;41;4.323
3508306;2021;Cabrália Paulista;17;23;0;40;4.306
3508405;2021;Cabreúva;395;333;0;728;50.112
3508504;2021;Caçapava;563;537;0;1.100;91.646
3508603;2021;Cachoeira Paulista;179;176;0;355;32.381
3508702;2021;Caconde;90;91;0;181;18.893
3508801;2021;Cafelândia;105;89;0;194;17.286
3508900;2021;Caiabu;26;20;0;46;4.104
3509007;2021;Caieiras;597;580;0;1.177;101.748
3509106;2021;Caiuá;20;15;0;35;5.642
3509205;2021;Cajamar;696;652;1;1.349;78.786
3509254;2021;Cajati;227;196;0;423;29.116
3509304;2021;Cajobi;55;34;0;89;10.124
3509403;2021;Cajuru;133;156;0;289;25.850
